companyName,industry,revenue,debtToEquity,yearsInBusiness,paymentHistory,outstandingDebt,creditUtilization,latePayments,collateralValue,annualGrowth,creditScore,riskLevel,loanEligibility
Company 1025,healthcare,376898.52,0.949,17,65.9,378628.81,8.29,1,639217.02,-7.25,637,moderate,denied
Company 1026,retail,55726.74,0.648,39,66.44,100605.83,85.79,1,122950.12,27.4,643,moderate,approved
Company 1027,services,206114.21,0.704,3,70.19,37875.68,78.8,2,352583.67,2.25,579,moderate,review
Company 1028,retail,51200.38,0.172,19,92.0,38209.18,52.2,2,69108.94,16.6,639,moderate,review
Company 1029,healthcare,73675.83,0.513,32,73.67,56550.7,68.52,1,162790.65,-4.19,613,low,review
Company 1030,retail,20804.17,1.364,2,98.15,15524.94,14.35,1,44774.67,6.36,637,low,review
Company 1031,manufacturing,41870.71,0.653,35,90.99,42984.61,81.07,2,81950.69,-7.02,632,low,review
Company 1032,healthcare,70857.62,0.925,41,45.03,113520.73,69.37,2,129036.8,9.83,553,moderate,review
Company 1033,manufacturing,212947.95,0.437,30,46.88,149910.46,15.8,3,482188.64,17.06,646,moderate,review
Company 1034,services,71509.55,1.56,11,54.13,108302.5,93.26,4,107807.26,-2.42,482,high,denied
Company 1035,retail,181131.09,0.114,37,57.41,68519.06,7.03,2,121705.71,-3.27,684,moderate,review
Company 1036,manufacturing,99965.79,1.172,17,68.71,116497.85,61.57,2,184300.55,10.35,581,moderate,review
Company 1037,retail,220118.45,0.192,37,46.28,178883.05,20.46,0,508174.0,-7.38,633,moderate,review
Company 1038,retail,57111.81,0.282,31,45.56,64222.26,69.73,3,71269.82,-17.77,548,high,denied
Company 1039,retail,405217.07,2.155,5,56.7,123479.58,11.34,3,345195.44,10.3,567,moderate,review
Company 1040,technology,40606.48,0.512,5,77.04,77622.52,12.3,0,112869.9,3.38,640,moderate,review
Company 1041,technology,32429.72,0.57,1,78.17,59080.68,46.97,2,86242.76,3.07,550,high,denied
Company 1042,healthcare,22741.75,1.019,4,98.33,37982.2,94.46,2,46531.57,12.82,551,moderate,review
Company 1043,healthcare,386473.95,1.161,15,44.17,694218.27,29.89,1,953244.9,14.91,593,moderate,review
Company 1044,healthcare,115330.6,0.999,2,57.5,43676.5,60.13,2,336997.54,2.58,570,moderate,review
Company 1045,technology,45830.42,0.792,46,97.53,48446.03,51.67,1,88138.66,-11.84,648,moderate,review
Company 1046,retail,162627.59,0.05,45,78.3,114494.28,80.79,3,180590.5,-4.58,613,moderate,review
Company 1047,technology,103792.99,0.165,9,71.46,185377.74,30.97,5,217657.02,13.77,576,moderate,review
Company 1048,healthcare,288630.32,0.315,16,67.78,132750.2,54.94,2,804263.82,7.05,640,moderate,review
Company 1049,services,17356.7,1.806,37,35.29,8988.97,90.56,4,38625.08,-3.25,522,high,denied
Company 1050,technology,48422.12,2.538,33,92.54,68021.33,34.93,2,27387.6,-6.77,617,moderate,review
Company 1051,healthcare,41356.42,0.649,29,73.79,11121.13,44.55,1,115501.51,14.27,672,low,review
Company 1052,technology,12345.59,0.46,49,70.02,18413.41,84.99,3,29434.2,1.68,623,moderate,review
Company 1053,retail,139841.06,3.212,31,67.77,85224.99,34.92,0,210401.72,16.29,583,moderate,review
Company 1054,technology,48227.41,0.705,33,57.43,65385.62,39.26,3,143174.14,18.19,627,moderate,review
Company 1055,retail,108196.57,1.233,25,47.83,190293.08,32.37,2,249306.36,0.31,552,moderate,review
Company 1056,healthcare,395464.99,0.822,26,82.87,497598.42,77.86,2,1013815.12,19.24,620,moderate,review
Company 1057,services,45134.63,0.454,15,65.67,22752.33,88.73,2,128990.99,7.08,589,moderate,review
Company 1058,technology,42748.0,0.564,26,32.38,8268.08,61.8,0,25603.75,9.02,586,moderate,review
Company 1059,manufacturing,65836.61,1.034,45,57.94,12164.4,61.13,1,160381.25,-27.83,603,moderate,review
Company 1060,healthcare,131899.81,2.35,19,95.0,35447.09,40.1,3,193347.46,-9.56,599,moderate,review
Company 1061,services,38048.98,0.57,7,56.17,45721.71,6.12,0,101693.04,-8.75,579,moderate,review
Company 1062,manufacturing,36142.72,0.521,30,58.93,27526.8,20.65,2,97485.57,0.22,580,moderate,review
Company 1063,retail,139490.45,0.055,39,73.68,78380.14,18.27,3,358706.13,6.72,689,moderate,review
Company 1064,manufacturing,81057.29,0.129,47,86.12,41880.88,15.43,2,198428.36,7.33,736,moderate,review
Company 1065,retail,11663.47,0.05,27,76.79,22187.48,63.86,2,28991.98,9.29,639,moderate,review
Company 1066,services,22464.39,0.135,39,89.5,7317.81,17.27,1,27886.87,-5.27,712,low,approved
Company 1067,retail,198985.79,1.489,13,37.98,135140.68,12.71,2,301726.23,15.37,585,moderate,review
Company 1068,healthcare,82581.64,1.307,21,94.72,82235.36,39.43,1,65044.37,32.14,700,low,approved
Company 1069,technology,32540.58,1.49,21,93.27,3281.85,27.41,5,83840.12,-0.3,580,moderate,review
Company 1070,retail,52243.58,0.05,17,66.34,96640.75,18.13,1,110496.02,-4.96,657,moderate,review
Company 1071,services,60511.54,1.09,36,73.73,17444.71,18.15,2,122946.85,-5.28,629,moderate,review
Company 1072,manufacturing,107859.71,0.314,44,44.9,150647.03,28.06,1,120284.62,6.28,650,moderate,review
Company 1073,retail,20199.02,0.634,17,61.36,26154.59,53.32,2,41157.32,-2.89,579,moderate,review
Company 1074,services,30553.69,2.155,7,44.19,50023.15,73.23,2,49997.42,-20.95,441,high,denied
Company 1075,services,74485.86,0.813,41,31.54,99635.02,81.75,4,222576.57,-16.85,478,high,denied
Company 1076,retail,55278.11,0.125,42,98.66,86335.35,72.63,1,146911.02,20.3,753,high,denied
Company 1077,manufacturing,94607.06,0.49,46,48.14,85181.58,61.54,4,171707.76,24.23,580,moderate,review
Company 1078,manufacturing,22390.55,3.105,13,71.52,23029.54,86.69,3,56449.68,29.0,526,high,denied
Company 1079,manufacturing,79674.35,2.283,36,51.02,114185.93,51.78,1,72604.24,8.39,588,moderate,review
Company 1080,retail,143381.89,1.551,36,55.94,169192.17,62.0,2,108038.43,-9.86,556,moderate,review
Company 1081,technology,88384.76,0.135,39,57.84,94741.68,42.05,5,183542.18,-1.57,594,moderate,review
Company 1082,services,66922.43,0.166,40,53.45,32829.53,34.46,2,155056.89,-17.37,614,moderate,review
Company 1083,services,55453.11,0.101,47,74.62,32739.83,34.85,5,35081.92,-17.95,588,moderate,review
Company 1084,services,30703.11,0.141,24,97.27,23983.57,18.35,1,30777.05,8.83,720,low,approved
Company 1085,services,56522.9,0.05,4,60.0,6649.37,76.69,0,104181.31,13.09,588,moderate,review
Company 1086,healthcare,164023.45,1.84,10,98.13,146471.39,9.98,0,107770.21,34.38,734,moderate,review
Company 1087,healthcare,54435.79,1.192,44,76.75,5729.92,65.72,3,84927.03,3.75,616,moderate,review
Company 1088,healthcare,29382.57,1.552,42,72.5,34481.3,82.8,1,50103.14,-15.37,569,moderate,review
Company 1089,manufacturing,40384.54,0.667,1,46.6,58059.02,49.77,3,113259.43,3.17,530,high,denied
Company 1090,manufacturing,70310.77,0.05,19,34.4,82128.77,11.32,2,90644.03,0.76,572,moderate,review
Company 1091,technology,44408.62,0.619,13,89.64,62957.56,43.56,2,40930.14,-2.37,625,moderate,review
Company 1092,manufacturing,88277.68,0.064,16,70.18,8829.98,35.89,1,45795.87,10.16,641,moderate,review
Company 1093,retail,90969.09,1.925,32,59.01,19370.93,93.7,0,73140.99,-13.22,531,high,denied
Company 1094,retail,121928.07,0.05,25,86.84,174000.94,67.21,3,289843.14,6.96,609,moderate,review
Company 1095,manufacturing,186996.95,0.377,24,51.74,303965.46,69.92,1,301496.06,14.77,649,low,review
Company 1096,retail,132811.62,1.809,22,84.85,194387.46,51.42,5,132388.29,26.3,582,moderate,review
Company 1097,technology,28356.42,1.527,32,52.96,38556.88,68.85,1,80321.52,9.66,572,low,review
Company 1098,services,29061.58,1.718,34,94.46,41965.71,70.03,0,71748.57,20.65,656,moderate,review
Company 1099,services,56352.55,0.999,3,48.76,84823.04,10.97,4,44288.13,-1.66,541,high,denied
Company 1100,technology,41733.51,0.22,7,39.63,61611.9,25.03,1,48928.09,0.44,567,moderate,review
Company 1101,technology,24084.86,1.523,17,78.87,36180.66,6.17,3,63189.12,25.22,614,moderate,review
Company 1102,retail,42051.34,1.971,22,41.4,10119.13,50.88,4,93819.87,-15.57,475,high,denied
Company 1103,healthcare,40961.57,1.998,49,96.46,9020.39,83.82,3,117308.33,-1.05,604,moderate,review
Company 1104,services,34979.65,1.617,44,75.89,27498.48,59.86,5,24157.77,21.93,584,moderate,review
Company 1105,technology,46507.48,1.07,32,46.16,51271.41,50.02,1,113409.79,1.83,569,moderate,review
Company 1106,healthcare,153700.42,2.278,2,44.62,238078.3,88.34,2,106211.38,0.72,455,high,denied
Company 1107,technology,70220.14,1.585,5,94.67,51678.15,20.5,4,94211.19,1.02,575,moderate,review
Company 1108,retail,432547.43,0.07,23,72.55,269356.99,11.71,2,1028023.33,6.76,648,moderate,review
Company 1109,services,68624.61,0.348,29,92.56,108752.98,87.56,3,156294.27,21.29,639,moderate,review
Company 1110,technology,47474.47,0.423,33,37.72,27238.0,86.25,1,23988.59,18.86,628,moderate,review
Company 1111,technology,60072.43,1.99,7,94.78,99696.12,66.47,0,60364.22,5.17,632,moderate,review
Company 1112,retail,73511.24,0.822,44,66.4,32091.61,27.14,1,179840.41,21.39,722,low,approved
Company 1113,manufacturing,84812.92,0.054,25,76.79,66408.49,92.28,2,69153.81,10.13,598,moderate,review
Company 1114,services,315328.13,0.111,30,56.1,271826.62,73.88,3,414955.19,17.89,627,moderate,denied
Company 1115,services,30447.03,0.373,2,34.14,20371.19,65.65,2,29220.74,-10.43,504,high,denied
Company 1116,technology,119042.62,0.247,41,97.06,12663.53,25.06,1,92690.91,31.08,772,low,approved
Company 1117,technology,70699.97,0.177,27,99.62,38705.94,51.18,2,183223.53,8.3,683,moderate,review
Company 1118,healthcare,17036.64,0.316,11,55.52,12633.38,79.03,0,11130.97,-36.22,528,high,denied
Company 1119,retail,110919.39,1.08,16,96.07,77187.4,82.42,0,204105.53,29.89,675,moderate,review
Company 1120,services,165065.7,1.226,18,41.74,262876.28,55.53,0,368373.2,5.08,580,moderate,review
Company 1121,healthcare,30159.61,2.594,2,40.83,5730.29,52.05,1,19422.05,-0.93,456,high,denied
Company 1122,technology,59447.74,0.801,47,35.12,49876.81,67.79,3,123863.35,-4.09,546,high,denied
Company 1123,services,15058.78,0.397,40,57.39,2579.26,52.54,3,20105.94,11.59,630,moderate,review
Company 1124,technology,21871.83,0.532,44,33.66,40861.62,42.59,5,56513.82,-8.33,539,high,denied
Company 1125,retail,138472.03,0.05,18,57.63,221748.83,12.69,2,345369.89,-3.65,627,moderate,review
Company 1126,manufacturing,41227.75,0.389,28,39.69,81058.16,16.34,1,102441.17,-3.29,594,moderate,review
Company 1127,manufacturing,24660.49,0.217,23,81.14,45111.56,73.42,4,36908.34,0.62,587,moderate,review
Company 1128,healthcare,71938.6,0.13,24,88.34,50360.21,7.22,1,183901.72,-2.73,689,moderate,review
Company 1129,healthcare,39421.63,0.473,29,78.15,55742.53,9.71,1,81798.12,17.79,693,moderate,review
Company 1130,services,41082.71,0.14,23,44.03,28037.01,86.42,2,59434.73,9.07,545,high,approved
Company 1131,services,108170.16,0.07,38,83.68,193365.11,68.36,3,75900.28,10.9,662,moderate,review
Company 1132,manufacturing,23638.06,0.944,3,47.47,20811.67,5.38,2,15767.7,14.16,591,moderate,review
Company 1133,technology,29019.05,1.44,10,83.16,23626.91,33.08,3,32748.12,3.6,591,moderate,review
Company 1134,healthcare,67728.61,0.579,44,69.72,124399.21,73.7,2,84590.44,-10.3,645,moderate,review
Company 1135,services,130030.96,0.05,44,55.67,219727.16,42.58,0,366533.96,32.08,712,low,approved
Company 1136,retail,161220.5,0.455,41,35.84,312152.83,47.19,1,483636.52,18.91,647,moderate,review
Company 1137,manufacturing,35170.07,0.05,19,87.93,7959.95,46.29,2,30217.58,29.19,682,moderate,review
Company 1138,retail,126741.08,1.081,23,95.78,71272.07,23.19,2,362089.21,20.52,670,moderate,review
Company 1139,technology,31974.25,1.976,2,76.61,21474.86,69.93,6,72464.84,-1.91,449,high,denied
Company 1140,healthcare,258065.18,0.833,14,97.52,233876.45,14.27,1,450716.11,-30.22,638,moderate,review
Company 1141,retail,24172.8,0.255,36,95.39,24147.34,50.65,1,69780.01,-13.44,615,moderate,review
Company 1142,healthcare,173300.62,2.571,17,43.62,113303.53,20.3,2,395858.99,14.55,553,moderate,review
Company 1143,services,35412.18,1.063,24,81.18,56725.21,9.19,1,70262.59,3.47,669,moderate,review
Company 1144,services,299717.96,0.077,7,54.45,157101.32,17.89,0,306856.31,-1.3,620,moderate,review
Company 1145,retail,96091.54,0.211,25,64.13,136775.06,83.24,0,106768.26,-32.43,571,high,denied
Company 1146,retail,26560.67,1.267,36,40.99,45640.79,20.85,1,73805.57,4.8,582,moderate,review
Company 1147,healthcare,39427.12,0.218,29,98.23,49166.67,30.05,2,40909.46,-11.23,695,moderate,review
Company 1148,services,111853.47,0.685,28,80.83,86451.76,17.43,2,64960.58,-5.87,638,moderate,review
Company 1149,manufacturing,138984.2,0.461,45,48.68,63514.86,71.2,0,161995.5,17.75,623,moderate,review
Company 1150,services,56580.94,0.336,12,56.0,20100.82,45.09,3,96266.21,-10.44,560,moderate,review
Company 1151,technology,62051.91,0.123,15,59.57,93942.38,89.93,5,90280.07,-9.01,503,high,denied
Company 1152,services,109829.28,1.164,31,82.33,108879.34,64.79,1,311861.06,7.78,626,moderate,review
Company 1153,technology,66532.03,0.95,24,94.8,12508.5,52.83,2,102887.46,18.09,644,moderate,review
Company 1154,technology,21273.05,2.025,48,52.5,41892.9,64.1,0,57918.67,-1.04,597,moderate,review
Company 1155,manufacturing,31245.19,0.27,3,63.08,42977.01,8.64,0,62073.49,27.01,694,moderate,review
Company 1156,technology,72265.05,0.05,6,71.52,123135.81,90.56,0,130822.27,-14.18,584,moderate,review
Company 1157,technology,158321.96,2.283,17,57.53,147644.48,91.08,1,142567.19,-16.81,496,high,denied
Company 1158,technology,218116.79,0.914,23,65.29,417766.37,29.85,0,256849.92,-18.09,631,moderate,review
Company 1159,retail,111705.76,0.05,44,37.4,53517.95,61.55,4,298021.69,-19.78,538,high,denied
Company 1160,healthcare,75344.98,4.408,25,41.74,34037.75,23.17,2,184587.15,10.05,511,high,denied
Company 1161,technology,108994.33,2.088,22,58.08,195278.16,54.27,3,176413.68,-9.67,520,low,review
Company 1162,healthcare,35122.57,0.423,9,94.05,63019.11,74.37,4,97379.28,-16.15,566,moderate,review
Company 1163,services,52966.52,0.904,22,54.46,55516.17,89.58,3,134955.86,10.7,529,high,denied
Company 1164,technology,30967.56,0.315,27,47.49,10497.82,35.53,2,24161.22,17.36,593,high,denied
Company 1165,technology,22048.63,0.269,29,82.0,14991.11,67.42,2,44424.17,20.76,668,moderate,review
Company 1166,services,78185.48,0.534,30,96.44,119849.69,69.48,2,195237.58,18.13,692,moderate,review
Company 1167,services,69453.35,0.34,22,62.14,118583.59,24.9,1,175082.2,-8.77,600,moderate,review
Company 1168,manufacturing,103789.7,0.376,8,30.6,78936.63,61.61,3,75595.53,9.14,518,high,denied
Company 1169,services,92678.28,0.075,8,78.17,20050.39,63.99,2,98380.59,12.45,602,moderate,review
Company 1170,technology,72701.36,4.856,8,59.05,99228.69,73.77,4,111421.99,-2.12,425,high,denied
Company 1171,retail,93460.42,0.983,31,77.16,140662.08,95.0,2,105524.08,7.47,595,moderate,review
Company 1172,healthcare,57864.16,0.113,42,49.44,52403.4,8.62,2,44691.12,-13.77,697,moderate,review
Company 1173,retail,83309.1,0.141,44,30.17,100627.86,23.21,3,172616.55,-4.41,582,moderate,review
Company 1174,healthcare,33492.76,1.316,16,54.11,66181.88,18.06,2,59238.09,10.58,621,moderate,review
Company 1175,manufacturing,80480.06,8.0,4,79.34,45511.26,18.9,2,71423.99,27.61,495,high,denied
Company 1176,healthcare,102204.82,0.669,31,57.52,121486.54,45.88,2,200930.08,22.27,636,moderate,review
Company 1177,manufacturing,35040.33,0.222,2,45.34,44179.71,84.07,3,22952.72,14.91,521,low,review
Company 1178,retail,62409.06,4.525,31,62.48,71352.5,45.39,0,90967.61,6.2,550,high,denied
Company 1179,technology,36356.13,1.01,19,82.66,63672.16,65.16,0,90210.27,3.87,629,moderate,review
Company 1180,technology,39292.72,0.293,42,38.36,49096.82,38.88,2,107077.55,-16.71,604,moderate,review
Company 1181,healthcare,24344.39,0.759,31,78.42,25926.55,33.77,2,27097.41,-7.53,611,moderate,review
Company 1182,technology,164821.76,0.71,37,76.71,55005.73,80.08,1,436575.27,-7.04,612,moderate,review
Company 1183,technology,140441.76,1.239,20,55.95,201688.05,64.0,2,383320.95,13.62,562,moderate,review
Company 1184,technology,92037.1,0.946,42,97.92,32305.39,36.58,0,185657.78,19.17,695,moderate,review
Company 1185,technology,290034.96,2.731,26,92.63,43645.27,87.27,1,857182.31,16.05,611,moderate,review
Company 1186,services,51462.23,1.636,31,52.13,52913.94,49.87,2,57403.01,22.74,612,moderate,review
Company 1187,retail,500000.0,0.444,18,32.18,593823.01,21.94,2,336217.79,6.08,561,moderate,review
Company 1188,services,49909.99,2.549,23,51.58,99730.28,48.49,1,130195.59,-9.74,553,moderate,review
Company 1189,technology,73434.91,0.323,42,44.33,106731.83,65.72,2,126846.07,4.25,562,moderate,denied
Company 1190,healthcare,43554.91,0.52,20,68.31,74580.01,38.04,2,59501.87,-5.87,602,moderate,review
Company 1191,retail,80648.9,0.05,2,94.31,61142.94,80.94,3,51460.62,14.87,598,moderate,review
Company 1192,retail,116831.96,1.331,19,90.92,124652.45,52.98,8,77291.49,-0.39,520,moderate,review
Company 1193,services,54658.88,0.872,20,51.41,106645.54,47.1,0,39725.59,3.52,603,moderate,review
Company 1194,services,248047.58,1.353,21,60.0,221515.98,82.28,1,237904.0,15.4,573,moderate,review
Company 1195,services,72498.38,3.336,4,32.56,118451.6,46.66,3,212130.41,-6.12,424,high,denied
Company 1196,technology,74338.8,0.498,7,68.09,81726.54,42.3,2,89467.52,19.46,607,moderate,review
Company 1197,technology,28934.84,1.419,16,34.44,15206.06,14.33,2,73570.26,-15.21,557,moderate,review
Company 1198,healthcare,83683.68,1.08,21,95.7,100654.35,37.62,5,45903.38,9.6,592,moderate,review
Company 1199,retail,53786.52,2.24,2,90.69,27663.37,40.73,0,70166.55,3.64,649,moderate,review
Company 1200,healthcare,36805.71,2.917,20,44.99,3892.25,21.26,2,101785.49,17.41,535,high,denied
Company 1201,manufacturing,32170.99,2.154,16,78.96,17636.22,57.9,2,30967.86,-15.62,548,high,denied
Company 1202,manufacturing,500000.0,0.66,2,69.76,233486.64,17.95,3,605029.4,-17.96,571,moderate,review
Company 1203,services,48495.11,0.221,13,86.1,39026.45,25.13,3,124452.37,16.25,641,moderate,review
Company 1204,healthcare,18665.12,0.118,14,63.3,33379.47,55.5,1,14997.03,-0.86,630,moderate,review
Company 1205,technology,34249.35,0.323,8,43.42,28663.99,29.21,2,21678.4,3.64,580,moderate,review
Company 1206,technology,57454.33,0.517,37,74.79,98008.85,62.57,1,167476.05,-4.9,629,moderate,review
Company 1207,manufacturing,92719.46,2.744,4,35.62,107152.61,67.15,2,140189.91,18.69,506,high,denied
Company 1208,manufacturing,93324.43,0.457,29,70.92,10682.66,32.12,2,200150.87,9.49,623,high,denied
Company 1209,retail,102877.23,0.05,33,44.89,47179.47,12.86,3,84131.95,8.61,609,moderate,review
Company 1210,retail,35743.07,0.428,40,77.95,66819.11,49.05,3,37546.08,-12.54,628,moderate,review
Company 1211,healthcare,78617.72,0.475,27,87.96,98109.37,13.36,2,129715.45,12.52,700,moderate,review
Company 1212,services,29707.43,0.283,27,37.67,55438.19,51.37,2,64996.38,-9.88,563,moderate,review
Company 1213,manufacturing,36471.47,0.794,38,58.02,25137.16,70.36,2,44973.69,-4.88,579,low,review
Company 1214,retail,28733.9,0.53,42,81.35,41993.69,60.83,5,77914.39,-15.48,574,moderate,review
Company 1215,retail,23139.33,0.074,11,41.46,36255.8,45.34,3,56757.53,2.65,571,moderate,review
Company 1216,manufacturing,140276.06,0.654,40,69.66,274075.46,90.13,4,263563.94,20.97,596,moderate,review
Company 1217,retail,103869.37,1.472,23,77.03,13974.1,14.16,1,171179.63,8.4,629,moderate,review
Company 1218,manufacturing,130787.91,1.082,5,54.84,249706.91,84.2,2,267965.64,-1.63,494,high,denied
Company 1219,healthcare,61787.14,0.076,31,88.24,52149.67,77.01,3,143911.99,6.64,658,moderate,review
Company 1220,technology,111462.8,2.571,48,65.75,188615.74,42.78,0,93336.24,6.55,615,moderate,review
Company 1221,technology,14632.03,0.823,7,73.89,16606.69,18.76,4,38505.71,5.99,588,moderate,review
Company 1222,technology,119428.13,0.663,1,39.86,140069.38,19.03,2,205835.21,7.66,585,moderate,review
Company 1223,services,68988.55,0.257,45,31.62,54005.48,87.96,1,195814.35,-10.6,571,moderate,review
Company 1224,manufacturing,98882.51,1.791,30,33.55,165539.01,26.03,2,285657.34,6.6,542,high,denied
Company 1225,technology,81147.08,1.226,11,93.27,48820.18,83.67,1,46804.99,-21.33,547,low,review
Company 1226,services,27183.24,0.05,39,91.78,28141.68,50.3,1,39720.22,13.63,743,low,approved
Company 1227,manufacturing,18062.05,0.106,20,86.53,21030.21,46.56,2,32792.7,-11.54,605,moderate,review
Company 1228,manufacturing,33872.43,0.052,17,43.97,51174.13,60.76,3,62629.74,22.66,562,moderate,review
Company 1229,services,94083.11,0.787,15,66.78,93716.86,24.35,1,240474.87,-31.68,587,moderate,review
Company 1230,technology,103992.4,5.968,30,85.73,144813.32,43.55,3,88680.56,30.12,526,high,denied
Company 1231,technology,20043.22,2.575,7,77.23,20485.35,89.46,0,41213.0,-19.59,528,high,denied
Company 1232,manufacturing,27313.07,0.882,18,38.09,36946.64,26.44,3,78019.57,-13.0,500,high,denied
Company 1233,technology,33570.78,3.782,15,92.69,46356.98,87.94,0,100434.65,9.49,553,high,denied
Company 1234,healthcare,44988.22,0.577,3,41.25,65140.2,94.48,5,23628.44,14.28,482,high,denied
Company 1235,technology,20137.91,0.336,38,42.03,33514.91,9.67,0,59032.63,0.75,668,moderate,approved
Company 1236,technology,19194.11,0.686,1,93.07,21638.92,52.82,1,15461.33,18.39,627,moderate,review
Company 1237,technology,31024.48,0.278,48,63.92,14495.52,20.46,2,57158.76,-6.95,635,moderate,denied
Company 1238,retail,64151.52,0.354,5,56.1,89255.14,60.95,0,71588.25,-1.0,587,moderate,review
Company 1239,technology,23284.07,0.749,18,68.76,5740.09,94.06,2,46940.15,0.47,530,high,denied
Company 1240,technology,54576.42,0.999,5,98.7,28162.23,85.72,3,32340.16,-3.08,588,moderate,review
Company 1241,services,139642.69,1.777,18,38.37,224140.39,88.24,1,153024.89,-24.01,478,high,denied
Company 1242,retail,21132.69,0.568,30,82.99,19582.25,24.2,1,26446.27,4.63,662,moderate,review
Company 1243,retail,50758.96,1.316,5,53.4,53108.28,53.81,1,141567.65,3.27,529,high,denied
Company 1244,technology,135917.78,0.05,26,38.19,268580.88,26.13,5,266272.96,21.17,561,moderate,review
Company 1245,retail,42846.76,0.252,38,59.54,23429.8,85.95,0,97284.61,-14.29,572,moderate,review
Company 1246,retail,37837.81,0.189,23,68.41,5189.46,22.2,2,82866.25,-4.59,639,low,review
Company 1247,manufacturing,151872.5,0.918,6,44.42,47324.68,18.86,1,224880.78,23.05,584,moderate,review
Company 1248,technology,46865.56,0.132,34,58.37,26458.12,6.09,3,25075.54,9.4,654,moderate,review
Company 1249,services,144870.57,4.445,10,74.5,214299.51,21.38,2,111195.68,13.24,545,high,denied
Company 1250,services,84387.31,0.807,1,70.35,132830.85,22.08,2,138987.69,11.8,622,moderate,review
Company 1251,technology,45511.68,1.929,22,80.62,53450.24,11.97,1,129855.61,11.87,650,moderate,review
Company 1252,technology,87882.19,0.082,14,88.55,51374.89,83.1,0,98594.55,32.32,696,moderate,review
Company 1253,technology,77370.4,0.975,2,58.64,84435.06,75.2,1,173758.21,6.37,576,moderate,review
Company 1254,manufacturing,135497.2,1.479,39,59.61,17400.46,27.9,5,347752.16,-10.17,556,moderate,review
Company 1255,technology,38612.2,0.904,30,64.77,53880.31,75.49,1,106838.54,14.58,618,moderate,review
Company 1256,services,61880.78,0.758,45,69.64,78413.18,42.99,1,76343.31,-3.5,638,low,review
Company 1257,healthcare,56998.91,1.294,24,37.58,8060.41,74.8,2,161204.77,3.35,504,high,denied
Company 1258,services,105168.44,3.081,22,51.88,173772.13,34.07,4,212435.58,10.55,534,high,denied
Company 1259,manufacturing,26366.69,0.936,42,42.03,40881.82,55.82,2,46695.85,-7.32,581,moderate,review
Company 1260,services,135074.48,1.9,4,57.01,92610.46,39.34,5,330389.7,-2.65,498,high,denied
Company 1261,technology,86947.78,0.447,18,98.13,113659.5,21.89,2,95362.72,12.14,668,moderate,review
Company 1262,retail,20878.18,0.564,40,70.79,25948.17,57.71,3,52852.08,-3.23,639,moderate,review
Company 1263,retail,157410.18,0.945,15,60.06,58563.28,72.57,1,334481.94,19.6,584,moderate,review
Company 1264,services,357637.24,0.181,44,69.62,167085.5,72.78,1,893526.37,-9.79,614,moderate,review
Company 1265,manufacturing,133448.0,0.178,14,76.84,186572.54,37.07,4,352210.04,-9.84,568,moderate,review
Company 1266,services,187510.07,6.929,21,60.45,351346.64,51.68,2,383152.18,33.59,499,high,review
Company 1267,technology,64106.25,2.304,44,61.34,76603.13,73.74,0,37940.5,-17.95,547,high,denied
Company 1268,services,15847.96,2.853,12,79.1,18682.29,9.9,4,19720.71,4.6,537,high,denied
Company 1269,manufacturing,13693.87,1.987,48,34.26,18194.98,11.47,2,36905.66,32.77,681,moderate,review
Company 1270,manufacturing,73428.37,1.632,3,67.81,68809.63,38.86,4,151805.17,4.57,548,high,denied
Company 1271,services,37287.63,2.44,14,68.31,7566.66,25.11,1,101614.05,25.2,592,moderate,review
Company 1272,retail,28806.0,1.038,29,82.97,24581.81,38.72,2,42094.82,14.79,627,moderate,review
Company 1273,retail,56942.81,0.404,30,98.79,103093.77,13.44,3,100322.9,4.89,649,moderate,review
Company 1274,manufacturing,97975.06,2.09,45,85.7,159640.46,58.28,3,260268.89,3.04,607,moderate,review
Company 1275,technology,18728.35,1.09,48,65.27,34874.16,65.46,0,45043.16,-26.79,622,moderate,review
Company 1276,retail,41810.3,0.261,34,41.86,16321.9,76.27,3,60363.73,0.21,581,moderate,review
Company 1277,technology,200365.11,3.446,33,71.18,212651.45,63.55,1,111518.36,8.48,526,high,denied
Company 1278,technology,25330.62,1.402,16,88.4,30674.97,40.67,2,68414.18,8.47,592,moderate,review
Company 1279,services,120067.45,0.33,40,95.27,59896.66,89.14,2,296073.38,41.99,691,moderate,review
Company 1280,manufacturing,40628.11,0.74,32,87.77,19576.39,70.37,2,65935.44,9.21,691,moderate,review
Company 1281,retail,92654.7,1.028,2,43.23,146937.63,52.49,2,172856.73,14.45,555,moderate,review
Company 1282,retail,144042.26,0.624,41,79.88,198276.86,23.62,1,145595.04,22.47,716,low,denied
Company 1283,retail,108339.53,1.787,18,91.61,144054.35,63.41,3,165786.87,13.11,565,moderate,review
Company 1284,manufacturing,123912.09,0.921,24,77.67,75248.86,58.25,1,112510.77,3.71,579,moderate,review
Company 1285,services,23830.59,0.492,24,78.0,25328.62,66.5,0,24460.28,3.78,642,moderate,review
Company 1286,services,145936.63,1.105,41,65.01,20990.49,75.3,1,381759.09,-0.26,603,moderate,review
Company 1287,retail,30267.98,2.2,14,74.59,10499.88,87.35,0,42562.25,11.66,566,moderate,review
Company 1288,retail,73690.81,0.084,20,50.61,79930.7,90.42,3,186939.47,2.45,531,high,approved
